ir1,ir2,ir1filt,ir2filt
92536,84980,309,95
92548,84998,299,87
92558,84998,283,79
92592,85014,261,69
92601,85008,236,58
92625,85010,208,47
92627,85016,178,37
92682,85029,149,26
92655,85029,119,16
92696,85048,91,5
92696,85042,65,-4
92720,85063,41,-14
92716,85051,20,-23
92747,85069,0,-33
92728,85058,-15,-41
92735,85058,-29,-48
92727,85037,-39,-54
92736,85035,-47,-57
92716,85042,-51,-58
92717,85031,-52,-57
92688,85039,-51,-56
92681,85023,-46,-54
92666,85023,-39,-51
92664,85015,-29,-48
92651,85022,-19,-45
92684,85031,-9,-42
92681,85014,0,-39
92719,85026,5,-38
92717,85021,6,-36
92749,85009,5,-36
92746,85020,0,-35
92757,85031,-8,-35
92752,85032,-17,-36
92773,85018,-26,-37
92764,85020,-36,-39
92784,85012,-45,-40
92820,85018,-54,-41
92805,85024,-63,-41
92793,85035,-72,-42
92809,85013,-78,-43
92830,85025,-84,-44
92826,85044,-88,-45
92836,85026,-92,-47
92832,85031,-95,-48
92806,85020,-97,-50
92822,85033,-96,-50
92829,85013,-93,-50
92821,85014,-90,-50
92829,85030,-87,-49
92855,85027,-83,-48
92855,85025,-80,-47
92867,85041,-79,-47
92858,85036,-78,-47
92840,85026,-77,-48
92840,85039,-75,-48
92829,85034,-72,-49
92819,85026,-67,-49
92810,85023,-61,-49
92681,85007,-51,-48
92653,85003,-34,-45
92579,84973,-10,-41
92515,84971,21,-35
92505,84953,58,-27
92762,85025,94,-20
92790,85038,116,-15
92780,85038,122,-14
92796,85025,117,-16
92814,85049,103,-20
92835,85043,82,-25
92835,85040,59,-31
92848,85033,34,-36
92861,85048,9,-40
92841,85043,-12,-44
92854,85051,-31,-47
92848,85046,-46,-49
92852,85046,-56,-51
92844,85047,-63,-52
92854,85052,-67,-52
92875,85061,-68,-52
92874,85065,-68,-52
92886,85071,-67,-52
92849,85052,-65,-52
92870,85059,-62,-52
92893,85041,-59,-51
92898,85060,-56,-49
92909,85037,-55,-46
92899,85059,-54,-43
92871,85064,-53,-40
92873,85070,-51,-38
92864,85073,-47,-37
92867,85070,-42,-37
92855,85059,-36,-37
92831,85037,-28,-36
92789,85037,-19,-33
92722,85008,-6,-29
92643,85030,12,-23
92586,85016,39,-17
92527,85030,72,-10
92494,85001,110,-4
92480,85018,151,1
92486,85003,191,6
92498,85020,226,11
92541,85008,253,15
92553,85021,271,18
92571,85031,278,19
92576,85040,275,18
92607,85062,265,16
92604,85051,249,12
92614,85061,228,6
92644,85077,204,0
92674,85059,178,-5
92695,85080,150,-12
92732,85077,120,-17
92722,85072,90,-22
92728,85086,62,-26
92759,85129,35,-31
92760,85122,11,-36
92753,85112,-9,-41
92751,85125,-26,-46
92764,85132,-40,-51
92766,85136,-50,-55
92771,85134,-58,-58
92763,85116,-63,-61
92769,85118,-66,-61
92769,85133,-67,-60
92756,85135,-67,-58
92760,85108,-65,-55
92758,85112,-62,-51
92723,85093,-58,-46
92757,85089,-53,-39
92768,85113,-48,-32
92745,85102,-44,-25
92769,85084,-41,-19
92790,85102,-39,-12
92793,85103,-40,-7
92835,85111,-43,-3
92848,85095,-49,0
92847,85090,-57,2
92854,85084,-67,5
92877,85073,-77,8
92878,85069,-87,11
92891,85076,-97,16
92879,85055,-106,20
92887,85082,-113,24
92894,85066,-118,28
92903,85084,-122,30
92900,85087,-124,32
92886,85098,-124,32
92879,85074,-122,30
92886,85089,-118,29
92883,85096,-113,27
92896,85082,-107,25
92864,85099,-100,23
92884,85091,-92,21
92908,85100,-85,19
92908,85107,-79,17
92905,85096,-75,14
92916,85112,-72,12
92898,85131,-70,10
92885,85135,-67,6
92858,85142,-62,2
92875,85142,-56,-2
92843,85139,-48,-7
92816,85128,-39,-11
92790,85127,-27,-13
92728,85124,-11,-14
92672,85104,8,-14
92629,85091,33,-11
92568,85081,63,-6
92531,85074,97,0
92505,85070,134,8
92488,85068,170,16
92494,85075,205,25
92492,85099,234,31
92503,85086,257,36
92513,85095,272,38
92532,85106,280,39
92564,85111,279,37
92588,85118,270,34
92607,85133,254,29
92614,85132,232,23
92612,85126,208,17
92636,85148,181,10
92649,85160,154,3
92654,85154,128,-3
92685,85181,102,-10
92689,85168,77,-17
92694,85202,54,-24
92702,85197,34,-31
92703,85202,15,-37
92685,85194,0,-43
92684,85211,-10,-48
92679,85195,-18,-51
92673,85213,-22,-54
92665,85202,-24,-55
92684,85204,-23,-55
92655,85197,-21,-53
92661,85191,-18,-51
92639,85196,-14,-47
92628,85181,-9,-42
92642,85193,-3,-37
92667,85204,1,-32
92661,85177,4,-27
92677,85172,4,-22
92681,85174,3,-16
92713,85174,0,-11
92717,85154,-7,-5
92732,85188,-16,0
92704,85187,-26,4
92670,85169,-34,7
92708,85183,-40,9
92697,85178,-45,11
92714,85187,-48,12
92736,85183,-52,12
92754,85186,-56,12
92781,85195,-62,11
92759,85187,-69,10
92759,85187,-76,9
92758,85173,-82,9
92775,85185,-86,9
92764,85172,-90,10
92762,85174,-93,11
92770,85162,-94,14
92788,85184,-94,16
92798,85169,-94,18
92790,85162,-95,20
92801,85173,-96,23
92795,85178,-97,24
92811,85159,-97,26
92806,85170,-97,27
92807,85146,-97,29
92808,85177,-96,30
92795,85170,-95,31
92763,85167,-92,32
92746,85156,-86,32
92692,85146,-76,32
92652,85149,-62,33
92573,85134,-42,35
92533,85133,-16,38
92492,85109,15,41
92460,85098,50,46
92449,85081,87,52
92425,85079,123,59
92428,85095,156,66
92422,85127,184,72
92428,85136,206,74
92448,85116,221,73
92471,85117,229,70
92482,85130,228,67
92517,85149,220,62
92538,85149,206,55
92537,85144,186,47
92548,85152,162,40
92559,85141,137,32
92579,85146,112,26
92569,85159,87,20
92595,85161,64,15
92616,85175,43,10
92626,85160,22,5
92650,85164,2,1
92657,85159,-15,-1
92668,85179,-32,-4
92656,85143,-48,-6
92713,85160,-61,-7
92709,85178,-74,-7
92731,85168,-87,-7
92751,85178,-99,-8
92733,85178,-110,-9
92743,85190,-120,-11
92720,85194,-127,-13
92690,85194,-131,-15
92653,85197,-129,-18
92602,85217,-121,-21
92550,85207,-107,-25
92501,85188,-85,-28
92471,85190,-57,-30
92444,85185,-25,-30
92423,85155,9,-29
92408,85168,43,-26
92394,85142,75,-20
92375,85193,104,-15
92394,85159,128,-10
92388,85189,147,-6
92398,85197,160,-3
92414,85216,166,-3
92441,85220,166,-6
92485,85230,159,-10
92499,85231,145,-16
92546,85239,125,-22
92541,85229,101,-28
92563,85264,73,-34
92577,85243,45,-40
92573,85254,17,-45
92595,85257,-8,-50
92604,85272,-31,-53
92606,85281,-52,-57
92633,85263,-70,-60
92603,85269,-85,-62
92632,85274,-96,-62
92636,85270,-105,-62
92623,85309,-112,-62
92643,85293,-116,-62
92655,85297,-119,-62
92647,85274,-120,-62
92641,85292,-121,-61
92619,85271,-120,-58
92616,85298,-116,-55
92618,85272,-111,-52
92612,85295,-104,-48
92604,85286,-97,-44
92633,85311,-89,-41
92620,85294,-83,-39
92661,85297,-78,-37
92640,85290,-75,-35
92651,85300,-74,-33
92648,85286,-74,-30
92647,85292,-74,-28
92682,85281,-75,-24
92684,85282,-77,-21
92700,85276,-81,-17
92728,85282,-86,-12
92730,85288,-92,-8
92754,85276,-100,-4
92757,85276,-108,-1
92763,85267,-116,2
92762,85263,-124,6
92778,85280,-130,10
92779,85257,-135,14
92798,85294,-138,17
92783,85264,-141,19
92775,85298,-142,20
92764,85285,-140,20
92779,85295,-136,19
92760,85286,-130,18
92791,85280,-122,17
92806,85282,-115,16
92820,85290,-110,16
92811,85279,-106,16
92803,85282,-103,16
92809,85283,-99,17
92816,85286,-95,17
92823,85285,-92,18
92809,85291,-89,19
92828,85286,-85,19
92819,85286,-81,20
92803,85270,-77,20
92788,85272,-71,22
92758,85271,-63,24
92709,85273,-52,26
92646,85266,-36,28
92611,85234,-14,31
92539,85236,13,35
92536,85210,45,41
92489,85215,81,47
92495,85207,117,55
92468,85210,151,62
92469,85226,182,68
92467,85222,208,72
92475,85221,228,75
92491,85230,242,75
92499,85239,248,74
92527,85230,248,72
92558,85241,241,68
92581,85247,227,63
92585,85242,208,57
92590,85260,186,52
92595,85270,163,45
92601,85280,139,38
92611,85289,117,30
92623,85302,97,21
92648,85310,78,12
92652,85302,60,3
92676,85306,43,-4
92661,85307,27,-11
92638,85323,14,-17
92623,85310,5,-22
92615,85323,0,-26
92621,85325,0,-29
92616,85334,0,-32
92630,85335,3,-34
92616,85317,6,-36
92619,85322,10,-36
92627,85337,13,-36
92609,85304,16,-35
92603,85327,19,-32
92606,85330,22,-30
92592,85334,24,-28
92601,85326,27,-26
92607,85319,29,-24
92625,85319,30,-22
92653,85329,28,-20
92683,85321,24,-18
92703,85318,15,-16
92712,85307,3,-13
92710,85325,-9,-10
92720,85302,-23,-8
92726,85311,-37,-5
92728,85313,-49,-2
92734,85282,-60,0
92725,85301,-69,3
92736,85286,-75,7
92750,85286,-80,11
92748,85302,-83,15
92761,85320,-86,17
92734,85339,-87,17
92747,85313,-87,15
92747,85321,-85,13
92760,85314,-83,10
92786,85302,-81,8
92779,85299,-80,7
92818,85292,-80,7
92796,85285,-82,8
92814,85305,-84,10
92809,85301,-87,12
92805,85296,-89,14
92780,85304,-89,15
92799,85317,-88,16
92773,85298,-85,16
92779,85307,-80,15
92758,85294,-74,15
92722,85283,-65,15
92689,85273,-53,16
92645,85275,-37,19
92598,85263,-17,22
92518,85265,7,25
92505,85236,37,30
92497,85232,70,35
92478,85220,104,41
92443,85228,135,48
92471,85246,163,54
92477,85256,187,57
92498,85255,203,59
92512,85244,212,58
92539,85246,213,56
92570,85250,206,54
92584,85272,193,50
92587,85273,174,46
92610,85276,152,40
92618,85275,129,33
92619,85272,104,27
92633,85292,81,20
92657,85304,59,14
92673,85296,37,7
92666,85291,18,1
92697,85310,0,-4
92690,85288,-15,-9
92716,85313,-29,-13
92682,85296,-41,-16
92691,85310,-51,-19
92681,85304,-56,-21
92677,85291,-59,-22
92662,85312,-59,-22
92670,85312,-56,-22
92640,85312,-51,-22
92650,85327,-45,-23
92634,85300,-37,-24
92642,85328,-28,-24
92618,85303,-20,-25
92631,85330,-12,-25
92627,85332,-4,-25
92629,85334,1,-27
92637,85320,6,-28
92636,85334,9,-29
92557,85332,12,-30
92506,85329,18,-30
92465,85335,29,-31
92455,85328,44,-31
92419,85342,63,-31
92446,85344,84,-31
92428,85331,103,-31
92459,85318,119,-30
92476,85309,131,-28
92473,85310,137,-25
92510,85302,137,-21
92491,85293,132,-16
92508,85339,123,-11
92515,85336,111,-7
92530,85350,97,-6
92553,85348,82,-7
92573,85352,65,-10
92590,85348,46,-13
92619,85365,26,-16
92613,85355,6,-20
92630,85370,-13,-24
92610,85403,-31,-28
92621,85388,-47,-33
92633,85395,-59,-38
92637,85399,-70,-43
92615,85408,-77,-47
92635,85409,-82,-51
92642,85388,-85,-54
92626,85394,-87,-55
92622,85400,-87,-55
92619,85419,-85,-54
92594,85400,-81,-53
92594,85422,-76,-52
92584,85405,-68,-50
92591,85401,-61,-48
92574,85403,-52,-45
92589,85404,-44,-42
92588,85392,-37,-38
92609,85397,-32,-34
92603,85408,-29,-29
92632,85390,-28,-25
92623,85393,-29,-21
92634,85400,-32,-17
92637,85394,-36,-13
92643,85378,-41,-10
92655,85403,-47,-6
92662,85408,-53,-3
92684,85387,-59,-1
92680,85419,-66,0
92696,85383,-72,0
92705,85402,-79,1
92694,85394,-85,3
92693,85400,-90,4
92698,85406,-94,5
92718,85394,-96,5
92706,85388,-97,6
92710,85385,-97,8
92720,85375,-97,11
92728,85378,-96,14
92739,85373,-95,17
92744,85376,-95,21
92732,85367,-94,25
92727,85388,-93,28
92720,85373,-91,30
92736,85383,-87,32
92740,85388,-84,33
92748,85376,-80,33
92767,85363,-78,33
92764,85372,-76,33
92757,85354,-75,34
92770,85368,-74,36
92770,85363,-73,37
92757,85369,-72,38
92774,85396,-70,38
92754,85369,-68,37
92752,85360,-65,36
92730,85361,-60,36
92675,85348,-53,36
92644,85345,-41,37
92599,85319,-24,39
92560,85322,-3,43
92533,85313,22,47
92510,85299,50,53
92479,85279,79,59
92457,85300,109,66
92431,85284,138,72
92458,85301,164,77
92438,85292,186,80
92462,85306,203,82
92464,85304,214,82
92489,85321,218,80
92506,85322,216,76
92514,85336,208,70
92533,85328,195,62
92548,85329,179,55
92566,85324,159,47
92553,85337,138,40
92570,85331,117,34
92583,85337,97,28
92586,85325,77,23
92608,85331,59,19
92613,85321,43,16
92620,85333,27,14
92660,85310,13,13
92669,85318,-1,13
92646,85322,-15,13
92645,85345,-26,13
92656,85332,-35,12
92623,85334,-42,11
92605,85329,-44,9
92601,85323,-43,8
92592,85328,-38,6
92573,85317,-31,6
92579,85324,-22,5
92577,85335,-13,5
92595,85332,-4,4
92580,85349,3,2
92592,85351,8,0
92592,85353,12,-3
92617,85353,14,-6
92601,85354,14,-10
92607,85360,11,-14
92608,85349,8,-18
92615,85327,5,-20
92623,85330,0,-20
92636,85298,-4,-19
92634,85306,-9,-15
92631,85274,-15,-10
92665,85264,-21,-2
92677,85258,-28,6
92675,85257,-35,16
92670,85252,-43,26
92687,85250,-49,34
92670,85227,-55,42
92681,85205,-60,50
92702,85197,-63,57
92657,85185,-66,65
92655,85191,-66,73
92632,85197,-64,79
92625,85195,-58,83
92629,85203,-50,85
92614,85183,-41,85
92648,85167,-32,84
92644,85152,-25,84
92683,85153,-19,84
92681,85142,-17,84
92698,85132,-18,85
92666,85117,-21,86
92643,85136,-24,87
92646,85123,-25,88
92613,85126,-24,88
92614,85108,-21,88
92603,85082,-15,87
92585,85044,-8,88
92578,85029,0,92
92517,85016,11,97
92485,85004,25,104
92454,85000,42,112
92436,84994,62,119
92415,84977,84,125
92441,84958,105,130
92447,84948,122,135
92508,84949,135,139
92535,84921,140,142
92583,84924,136,144
92576,84922,124,145
92575,84941,107,144
92579,84931,87,141
92563,84932,67,136
92580,84934,48,129
92604,84928,31,121
92636,84945,14,111
92658,84938,-1,101
92668,84930,-19,90
92714,84949,-36,79
92702,84942,-54,68
92727,84955,-71,57
92723,84954,-86,46
92696,84968,-99,34
92675,84964,-108,23
92700,84930,-112,12
92695,84930,-113,4
92710,84939,-111,-2
92701,84925,-108,-6
92727,84918,-105,-10
92709,84949,-101,-12
92699,84936,-97,-15
92652,84935,-91,-19
92612,84916,-82,-22
92607,84903,-69,-24
92604,84905,-53,-25
92635,84903,-37,-25
92656,84879,-22,-25
92663,84876,-12,-23
92671,84882,-6,-21
92693,84882,-3,-20
92671,84885,-4,-19
92659,84862,-6,-19
92663,84859,-9,-18
92685,84828,-11,-17
91850,85919,0,-33
91869,85860,45,-94
91875,85867,124,-197
91883,85868,217,-318
91874,85864,312,-442
91879,85858,399,-555
91869,85847,473,-651
91888,85828,530,-724
91889,85815,569,-773
91904,85805,590,-799
91914,85816,595,-804
91925,85800,586,-792
91904,85828,565,-767
91946,85788,536,-733
91952,85778,501,-691
91962,85739,461,-645
92001,85693,418,-593
92021,85639,374,-538
92053,85589,328,-479
92078,85552,281,-416
92089,85527,235,-353
92064,85499,191,-290
92051,85500,151,-230
92042,85507,118,-175
92023,85523,92,-127
92027,85507,72,-87
92020,85510,57,-55
92029,85472,46,-29
92074,85457,37,-7
92114,85409,27,12
92120,85411,14,32
92151,85384,-1,51
92163,85388,-20,70
92177,85378,-41,88
92193,85393,-62,104
92199,85377,-85,117
92210,85393,-106,129
92241,85374,-127,138
92286,85356,-148,145
92293,85314,-169,152
92334,85290,-191,161
92369,85262,-213,173
92381,85227,-236,187
92372,85210,-257,203
92374,85207,-276,220
92431,85187,-293,237
92409,85176,-307,254
92451,85162,-319,269
92462,85145,-329,282
92478,85122,-338,294
92449,85117,-344,304
92481,85125,-348,312
92469,85133,-349,318
92484,85151,-348,319
92469,85137,-345,316
92458,85141,-339,310
92467,85139,-331,302
92434,85106,-320,293
92413,85091,-307,284
92393,85047,-290,277
92356,85061,-270,273
92281,85014,-246,272
92238,85005,-216,272
92197,84956,-182,276
92173,84929,-143,282
92142,84872,-103,291
92118,84850,-63,303
92122,84824,-25,318
92113,84832,9,333
92140,84823,38,345
92142,84856,60,354
92152,84869,75,358
92165,84905,82,354
92196,84900,83,343
92166,84915,78,326
92185,84917,70,304
92195,84907,59,281
92186,84921,47,256
92206,84919,35,231
92198,84915,23,207
92215,84967,11,183
92200,84967,1,159
92200,84999,-7,135
92193,84968,-14,111
92192,84975,-18,89
92224,84971,-21,69
92213,84939,-24,52
92223,84929,-26,40
92232,84917,-29,32
92229,84858,-31,28
92235,84853,-34,29
92240,84836,-37,35
92250,84813,-39,43
92240,84813,-42,53
92216,84820,-44,63
92204,84824,-44,71
92183,84816,-41,76
92178,84815,-36,79
92183,84813,-29,79
92173,84807,-21,77
92198,84793,-13,73
92231,84787,-8,68
92256,84807,-6,62
92230,84780,-7,56
92240,84811,-11,48
92241,84793,-15,40
92211,84814,-20,31
92192,84821,-23,21
92200,84826,-23,10
92207,84803,-22,0
92213,84814,-20,-11
92209,84806,-18,-21
92215,84802,-16,-30
92219,84785,-14,-37
92219,84782,-14,-42
92213,84803,-13,-46
92200,84799,-12,-49
92200,84792,-11,-53
92214,84799,-10,-56
92196,84785,-8,-60
92220,84766,-7,-62
92234,84752,-6,-63
92222,84744,-7,-63
92189,84712,-8,-60
92145,84691,-7,-55
92090,84671,-2,-48
92069,84644,8,-39
91994,84603,24,-27
91983,84590,46,-14
91940,84555,72,1
91905,84547,100,17
91875,84539,129,33
91907,84528,158,48
91896,84539,183,60
91916,84559,202,68
91912,84585,215,71
91936,84586,221,69
91951,84584,220,61
91943,84581,213,51
91966,84587,201,38
91985,84601,186,24
91985,84594,167,10
91983,84608,146,-4
92006,84602,126,-18
92020,84577,105,-31
91998,84575,84,-42
92043,84579,65,-50
92046,84583,47,-56
92052,84582,29,-60
92061,84584,12,-64
92061,84601,-2,-68
92073,84601,-15,-72
92081,84611,-27,-77
92069,84598,-38,-82
92093,84566,-46,-86
92054,84550,-54,-88
92050,84568,-58,-88
92053,84563,-59,-87
92057,84570,-59,-85
92045,84586,-57,-84
92034,84596,-55,-85
92015,84615,-50,-87
92028,84608,-45,-91
91998,84607,-39,-97
91986,84593,-32,-102
92017,84587,-25,-107
92024,84579,-19,-110
92053,84563,-16,-111
92051,84568,-16,-110
92101,84577,-19,-108
92090,84607,-27,-106
92095,84608,-37,-106
92099,84631,-48,-107
92097,84618,-58,-110
92086,84606,-68,-114
92121,84605,-76,-117
92124,84565,-84,-119
92121,84576,-91,-118
92135,84560,-97,-115
92157,84569,-103,-110
92146,84573,-108,-104
92155,84592,-113,-99
92136,84579,-116,-95
92115,84594,-118,-93
92104,84578,-116,-91
92105,84566,-111,-89
92063,84536,-103,-87
92063,84521,-93,-82
92023,84477,-80,-75
91994,84460,-64,-64
91964,84432,-46,-50
91917,84431,-24,-34
91899,84406,0,-17
91906,84409,24,0
91884,84377,48,15
91902,84398,69,30
91889,84394,87,43
91918,84414,100,52
91929,84412,107,56
91981,84424,109,58
92140,84391,100,56
92157,84390,80,53
92152,84402,49,49
92148,84398,14,44
92155,84421,-21,39
92152,84427,-54,32
92146,84443,-82,24
92146,84437,-105,15
92131,84454,-121,5
92152,84436,-132,-4
92138,84405,-137,-13
92131,84382,-138,-18
92118,84359,-135,-20
92092,84353,-128,-17
92094,84346,-117,-12
92036,84327,-103,-4
92021,84315,-86,4
92005,84302,-66,14
92003,84290,-44,25
91974,84301,-22,35
91966,84306,-1,43
91998,84287,17,49
92013,84297,33,54
92021,84301,43,56
92039,84313,49,55
92062,84300,48,52
92063,84306,44,48
92067,84318,36,42
92056,84317,26,35
92059,84310,16,28
92068,84332,6,20
92087,84316,-2,12
92098,84341,-11,3
92114,84323,-20,-4
92120,84361,-29,-12
92146,84349,-38,-20
92132,84340,-47,-28
92166,84329,-56,-35
92146,84319,-64,-40
92128,84295,-71,-42
92149,84296,-75,-42
92122,84290,-77,-39
92146,84303,-76,-36
92126,84293,-74,-32
92135,84297,-70,-28
92116,84301,-66,-25
92139,84298,-60,-23
92136,84292,-55,-22
92150,84302,-50,-22
92138,84292,-46,-22
92141,84305,-43,-23
92127,84301,-40,-25
92147,84324,-36,-27
92149,84329,-34,-31
92147,84316,-32,-36
92160,84319,-30,-41
92182,84301,-30,-45
92189,84316,-32,-48
92193,84331,-35,-51
92196,84310,-38,-54
92225,84292,-43,-55
92213,84310,-48,-55
92223,84335,-53,-55
92213,84341,-57,-56
92225,84358,-60,-58
92214,84352,-62,-62
92221,84366,-63,-67
92219,84363,-62,-72
92208,84359,-60,-77
92206,84336,-56,-81
92221,84329,-52,-82
92234,84332,-47,-82
92214,84333,-43,-80
92243,84337,-40,-76
92235,84329,-37,-73
92235,84324,-34,-69
92219,84339,-32,-65
92211,84344,-29,-61
92193,84342,-24,-58
92166,84343,-18,-57
92151,84345,-9,-55
92142,84319,1,-54
92095,84326,15,-52
92069,84313,31,-50
92066,84306,49,-46
92036,84293,68,-42
92046,84282,87,-36
92039,84278,105,-29
92049,84286,120,-22
92059,84288,132,-15
92070,84263,139,-9
92070,84260,142,-3
92094,84245,140,2
92097,84271,135,7
92108,84272,127,12
92115,84277,116,14
92136,84281,104,15
92147,84271,90,14
92167,84282,75,12
92179,84275,60,10
92166,84277,44,8
92156,84286,30,5
92159,84285,18,2
92155,84292,10,-1
92172,84281,4,-4
92170,84280,0,-7
92203,84273,-4,-8
92164,84258,-7,-9
92159,84252,-9,-8
92141,84247,-9,-6
92138,84245,-6,-2
92140,84242,-2,1
92146,84238,3,5
92154,84231,7,9
92164,84241,11,13
92159,84227,14,17
92156,84235,15,20
92151,84225,16,22
92141,84216,16,24
92142,84202,17,26
92153,84225,18,28
92059,84201,20,29
92154,84203,24,31
92174,84232,26,32
92159,84231,26,31
92163,84230,24,29
92177,84242,21,25
92163,84237,16,21
92172,84214,12,16
92166,84206,7,13
92158,84186,4,11
92160,84193,1,11
92132,84189,0,13
92139,84194,0,16
92145,84176,2,18
92143,84208,5,21
92154,84204,7,22
92171,84195,9,22
92164,84211,9,21
92156,84190,8,19
92144,84176,7,17
92152,84177,7,17
92142,84174,7,17
92132,84172,8,17
92113,84193,10,18
92124,84180,13,17
92111,84178,17,16
92097,84166,21,16
92088,84152,26,15
92069,84175,32,16
92053,84130,39,17
92033,84116,47,19
92024,84102,57,23
92028,84100,66,29
92032,84070,75,36
92015,84085,82,43
92030,84051,88,51
92048,84066,91,59
92025,84073,91,65
92026,84092,90,70
92014,84077,88,71
92025,84107,86,70
92024,84095,82,66
92025,84117,78,60
92046,84101,73,52
92054,84098,67,43
92067,84091,59,35
92083,84092,50,28
